21,"Sor, Fernando",1778,1839,Spain,"Introduction and Varied Theme, Op. 20",variations,solo,a major,https://www.youtube.com/watch?v=kpy5VyxoPR0,https://imslp.org/wiki/Introduction_et_th%C3%AAme_vari%C3%A9%2C_Op.20_(Sor%2C_Fernando),
22,"Sor, Fernando",1778,1839,Spain,"Fantasy No. 6, Les adieux, Op. 21",fantasy,solo,e minor,https://www.youtube.com/watch?v=uSOCOT0RCQg,https://imslp.org/wiki/Les_Adieux%2C_Op.21_(Sor%2C_Fernando),
23,"Sor, Fernando",1778,1839,Spain,"Grande Sonata No. 3 in C major, Op. 22",sonata ,solo,c major,https://www.youtube.com/watch?v=Pnh_-HBpVP4,https://imslp.org/wiki/Grande_Sonate%2C_Op.22_(Sor%2C_Fernando),
24,"Sor, Fernando",1778,1839,Spain,"Cinquième divertissement très facile in D major, Op. 23",didactic,solo,d major,https://youtu.be/kBvFZ-2RX_E,https://imslp.org/wiki/Divertissement%2C_Op.23_(Sor%2C_Fernando),
25,"Sor, Fernando",1778,1839,Spain,"Huit petites pièces, Op. 24",collection,solo,c minor f major d minor bb major,https://www.youtube.com/watch?v=wo2EqQBwkoM,https://imslp.org/wiki/8_Petites_pi%C3%A8ces%2C_Op.24_(Sor%2C_Fernando),
26,"Sor, Fernando",1778,1839,Spain,"Grande Sonata No. 4 in C major, Op. 25",,solo,c major,https://www.youtube.com/watch?v=NiFlme2JNWk,https://imslp.org/wiki/Grande_Sonate%2C_Op.25_(Sor%2C_Fernando),
27,"Sor, Fernando",1778,1839,Spain,"Introduction and Variations on Que ne suis-je la fougère! , Op. 26",variations,solo,a minor,https://www.youtube.com/watch?v=ImOkrGXEUz0,https://imslp.org/wiki/Introduction_and_Variations_on_Que_ne_suis-je_la_foug%C3%A8re!%2C_Op.26_(Sor%2C_Fernando),
28,"Sor, Fernando",1778,1839,Spain,"Introduction and Variations on Gentil houssard , Op. 27",variations,solo,a major,https://www.youtube.com/watch?v=iSTRdZaUwiM,https://imslp.org/wiki/Introduction_and_Variations%2C_Op.27_(Sor%2C_Fernando),
29,"Sor, Fernando",1778,1839,Spain,"Introduction and Variations on Malbroug (Marlborough) s’en va-t-en guerre, Op. 28",variations,solo,d major,https://www.youtube.com/watch?v=SIWOh53TEGI,https://imslp.org/wiki/Introduction_and_Variations_on_'Malbroug'%2C_Op.28_(Sor%2C_Fernando),
30,"Sor, Fernando",1778,1839,Spain,"Twelve Studies (Second Book), Op. 29",didactic collection,solo,,https://www.youtube.com/watch?v=6Ot8YYKBmyI,https://imslp.org/wiki/12_Etudes%2C_Op.29_(Sor%2C_Fernando),
